"Observation station,""Year"",""Month"",""Day"",""Time [Local time]"",""Global radiation mean [W/m2]"""
"Juva Partala,""2023"",""1"",""5"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""10:00"",""3.6"""
"Juva Partala,""2023"",""1"",""5"",""11:00"",""14.9"""
"Juva Partala,""2023"",""1"",""5"",""12:00"",""26.7"""
"Juva Partala,""2023"",""1"",""5"",""13:00"",""28.9"""
"Juva Partala,""2023"",""1"",""5"",""14:00"",""20.5"""
"Juva Partala,""2023"",""1"",""5"",""15:00"",""9"""
"Juva Partala,""2023"",""1"",""5"",""16:00"",""0.4"""
"Juva Partala,""2023"",""1"",""5"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""5"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""10:00"",""4.8"""
"Juva Partala,""2023"",""1"",""6"",""11:00"",""19.5"""
"Juva Partala,""2023"",""1"",""6"",""12:00"",""19.5"""
"Juva Partala,""2023"",""1"",""6"",""13:00"",""36.3"""
"Juva Partala,""2023"",""1"",""6"",""14:00"",""26.6"""
"Juva Partala,""2023"",""1"",""6"",""15:00"",""9.7"""
"Juva Partala,""2023"",""1"",""6"",""16:00"",""0.2"""
"Juva Partala,""2023"",""1"",""6"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""6"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""09:00"",""0.3"""
"Juva Partala,""2023"",""1"",""7"",""10:00"",""6.6"""
"Juva Partala,""2023"",""1"",""7"",""11:00"",""22.4"""
"Juva Partala,""2023"",""1"",""7"",""12:00"",""38.2"""
"Juva Partala,""2023"",""1"",""7"",""13:00"",""50"""
"Juva Partala,""2023"",""1"",""7"",""14:00"",""29.9"""
"Juva Partala,""2023"",""1"",""7"",""15:00"",""11"""
"Juva Partala,""2023"",""1"",""7"",""16:00"",""0.4"""
"Juva Partala,""2023"",""1"",""7"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""7"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""10:00"",""5.5"""
"Juva Partala,""2023"",""1"",""8"",""11:00"",""23.3"""
"Juva Partala,""2023"",""1"",""8"",""12:00"",""25.4"""
"Juva Partala,""2023"",""1"",""8"",""13:00"",""26.4"""
"Juva Partala,""2023"",""1"",""8"",""14:00"",""26.2"""
"Juva Partala,""2023"",""1"",""8"",""15:00"",""12.4"""
"Juva Partala,""2023"",""1"",""8"",""16:00"",""0.4"""
"Juva Partala,""2023"",""1"",""8"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""8"",""22:00"",""0.2"""
"Juva Partala,""2023"",""1"",""8"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""10:00"",""2"""
"Juva Partala,""2023"",""1"",""9"",""11:00"",""9.7"""
"Juva Partala,""2023"",""1"",""9"",""12:00"",""24.5"""
"Juva Partala,""2023"",""1"",""9"",""13:00"",""36.2"""
"Juva Partala,""2023"",""1"",""9"",""14:00"",""28.8"""
"Juva Partala,""2023"",""1"",""9"",""15:00"",""9.5"""
"Juva Partala,""2023"",""1"",""9"",""16:00"",""0.1"""
"Juva Partala,""2023"",""1"",""9"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""18:00"",""0.1"""
"Juva Partala,""2023"",""1"",""9"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""9"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""05:00"",""0.2"""
"Juva Partala,""2023"",""1"",""10"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""10:00"",""1.6"""
"Juva Partala,""2023"",""1"",""10"",""11:00"",""10.1"""
"Juva Partala,""2023"",""1"",""10"",""12:00"",""17.2"""
"Juva Partala,""2023"",""1"",""10"",""13:00"",""17.8"""
"Juva Partala,""2023"",""1"",""10"",""14:00"",""18.1"""
"Juva Partala,""2023"",""1"",""10"",""15:00"",""10"""
"Juva Partala,""2023"",""1"",""10"",""16:00"",""1.9"""
"Juva Partala,""2023"",""1"",""10"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""10"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""01:00"",""0.2"""
"Juva Partala,""2023"",""1"",""11"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""10:00"",""6"""
"Juva Partala,""2023"",""1"",""11"",""11:00"",""21.6"""
"Juva Partala,""2023"",""1"",""11"",""12:00"",""23.5"""
"Juva Partala,""2023"",""1"",""11"",""13:00"",""22.9"""
"Juva Partala,""2023"",""1"",""11"",""14:00"",""17.4"""
"Juva Partala,""2023"",""1"",""11"",""15:00"",""10.2"""
"Juva Partala,""2023"",""1"",""11"",""16:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""11"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""10:00"",""3.1"""
"Juva Partala,""2023"",""1"",""12"",""11:00"",""12.8"""
"Juva Partala,""2023"",""1"",""12"",""12:00"",""22.8"""
"Juva Partala,""2023"",""1"",""12"",""13:00"",""22.5"""
"Juva Partala,""2023"",""1"",""12"",""14:00"",""16.1"""
"Juva Partala,""2023"",""1"",""12"",""15:00"",""6.8"""
"Juva Partala,""2023"",""1"",""12"",""16:00"",""0.4"""
"Juva Partala,""2023"",""1"",""12"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""12"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""10:00"",""5.4"""
"Juva Partala,""2023"",""1"",""13"",""11:00"",""21.3"""
"Juva Partala,""2023"",""1"",""13"",""12:00"",""30.1"""
"Juva Partala,""2023"",""1"",""13"",""13:00"",""36.8"""
"Juva Partala,""2023"",""1"",""13"",""14:00"",""20.8"""
"Juva Partala,""2023"",""1"",""13"",""15:00"",""9.3"""
"Juva Partala,""2023"",""1"",""13"",""16:00"",""1.1"""
"Juva Partala,""2023"",""1"",""13"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""13"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""09:00"",""0.1"""
"Juva Partala,""2023"",""1"",""14"",""10:00"",""4.4"""
"Juva Partala,""2023"",""1"",""14"",""11:00"",""8.8"""
"Juva Partala,""2023"",""1"",""14"",""12:00"",""19.7"""
"Juva Partala,""2023"",""1"",""14"",""13:00"",""12.1"""
"Juva Partala,""2023"",""1"",""14"",""14:00"",""12.1"""
"Juva Partala,""2023"",""1"",""14"",""15:00"",""5.1"""
"Juva Partala,""2023"",""1"",""14"",""16:00"",""0.1"""
"Juva Partala,""2023"",""1"",""14"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""14"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""10:00"",""2.1"""
"Juva Partala,""2023"",""1"",""15"",""11:00"",""8.4"""
"Juva Partala,""2023"",""1"",""15"",""12:00"",""9.9"""
"Juva Partala,""2023"",""1"",""15"",""13:00"",""13.7"""
"Juva Partala,""2023"",""1"",""15"",""14:00"",""10.5"""
"Juva Partala,""2023"",""1"",""15"",""15:00"",""2.5"""
